Text,Label
Gluteus maximus beidseits negativ.,0
Gluteus maximus beidseits positiv.,1
Bauchdecke links negativ.,0
"Rhomboidei links, empfindlich.",1
unauffällig in der Condylus rechts.,0
"Oberschenkel links, stärker.",1
"Patella beidseits, stärker.",1
Die Bauchdecke beidseits zeigt keine Auffälligkeiten.,0
"Leiste rechts, empfindlich.",1
Druckschmerz in der Tibiakopf rechts.,1
"Lendenregion links, empfindlich.",1
unauffällig in der Lendenregion links.,0
Die Oberschenkel rechts ist unauffällig.,0
"Leiste links, empfindlich.",1
kein Druckschmerz in der Bauchdecke rechts.,0
starker Druckschmerz in der Oberschenkel beidseits.,1
Der Zustand der Lendenregion rechts ist stabil.,0
Bauchdecke links positiv.,1
"Rhomboidei links, stärker.",1
Vastus medialis links negativ.,0
leichter Druckschmerz in der Rhomboidei rechts.,1
Die Patella rechts ist nicht schmerzhaft.,0
kein Druckschmerz in der Patella rechts.,0
Der Zustand der Patella beidseits zeigt keine Auffälligkeiten.,0
Druckschmerz in der Gluteus maximus beidseits.,1
"Condylus rechts, empfindlich.",1
leichter Druckschmerz in der Tibiakopf links.,1
Die Leiste links scheint in Ordnung zu sein.,0
Der Zustand der Tibiakopf links ist normal.,0
leichter Druckschmerz in der Patella rechts.,1
Leiste links negativ.,0
Gluteus maximus beidseits positiv.,1
Oberschenkel rechts negativ.,0
leichter Druckschmerz in der Condylus links.,1
"Leiste rechts, empfindlich.",1
unauffällig in der Vastus medialis links.,0
leichter Druckschmerz in der Bauchdecke links.,1
Lendenregion rechts positiv.,1
Druckschmerz in der Gluteus maximus beidseits.,1
"Tibiakopf beidseits, stärker.",1
Die Condylus beidseits zeigt keine Auffälligkeiten.,0
"Rhomboidei links, druckempfindlich.",1
unauffällig in der Rhomboidei links.,0
Druckschmerz in der Leiste beidseits.,1
kein Druckschmerz in der Rhomboidei rechts.,0
kein Druckschmerz in der Oberschenkel rechts.,0
unauffällig in der Condylus rechts.,0
leichter Druckschmerz in der Vastus medialis links.,1
unauffällig in der Patella links.,0
unauffällig in der Patella rechts.,0
unauffällig in der Gluteus maximus beidseits.,0
"Rhomboidei links, druckempfindlich.",1
Die Rhomboidei rechts zeigt keine Auffälligkeiten.,0
unauffällig in der Lendenregion rechts.,0
"Leiste rechts, empfindlich.",1
unauffällig in der Lendenregion beidseits.,0
starker Druckschmerz in der Condylus beidseits.,1
unauffällig in der Rhomboidei rechts.,0
Lendenregion rechts negativ.,0
Der Zustand der Vastus medialis beidseits ist normal.,0
Vastus medialis beidseits negativ.,0
leichter Druckschmerz in der Lendenregion links.,1
Druckschmerz in der Lendenregion beidseits.,1
starker Druckschmerz in der Rhomboidei beidseits.,1
starker Druckschmerz in der Leiste beidseits.,1
"Oberschenkel rechts, empfindlich.",1
Der Zustand der Condylus beidseits ist normal.,0
Die Lendenregion rechts zeigt keine Auffälligkeiten.,0
kein Druckschmerz in der Oberschenkel rechts.,0
Die Leiste links scheint in Ordnung zu sein.,0
